고객ID,고객명,세그먼트,마지막이용일,경과일,평균주기,초과배수,제외사유
C102770,장주정,첫 방문 후 미방문,2026-06-10,56일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102700,김유영,첫 방문 후 미방문,2026-06-12,54일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101960,송서서,첫 방문 후 미방문,2026-06-13,53일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102240,황하서,첫 방문 후 미방문,2026-06-13,53일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102270,홍예희,첫 방문 후 미방문,2026-06-14,52일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102500,임민진,첫 방문 후 미방문,2026-06-14,52일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102820,서수우,첫 방문 후 미방문,2026-06-14,52일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101900,안채우,첫 방문 후 미방문,2026-06-15,51일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102350,임현영,첫 방문 후 미방문,2026-06-15,51일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102810,최유연,첫 방문 후 미방문,2026-06-17,49일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101840,홍예정,첫 방문 후 미방문,2026-06-18,48일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102600,전주경,첫 방문 후 미방문,2026-06-18,48일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102260,안예서,첫 방문 후 미방문,2026-06-21,45일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101780,서지수,첫 방문 후 미방문,2026-06-22,44일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102220,박현영,첫 방문 후 미방문,2026-06-22,44일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101910,서소준,첫 방문 후 미방문,2026-06-23,43일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102470,신주빈,첫 방문 후 미방문,2026-06-23,43일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102840,박주연,첫 방문 후 미방문,2026-06-24,42일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101890,장현영,첫 방문 후 미방문,2026-06-25,41일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102230,이민진,첫 방문 후 미방문,2026-06-26,40일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102800,권현빈,첫 방문 후 미방문,2026-06-26,40일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102010,김도연,첫 방문 후 미방문,2026-06-27,39일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102100,신현정,첫 방문 후 미방문,2026-06-28,38일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102460,윤서서,첫 방문 후 미방문,2026-06-28,38일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102170,이서영,첫 방문 후 미방문,2026-06-29,37일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102380,윤수경,첫 방문 후 미방문,2026-06-29,37일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102190,강예아,첫 방문 후 미방문,2026-06-30,36일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102740,임유호,첫 방문 후 미방문,2026-06-30,36일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102030,황윤빈,첫 방문 후 미방문,2026-07-01,35일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102120,강주경,첫 방문 후 미방문,2026-07-01,35일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102520,한도희,첫 방문 후 미방문,2026-07-02,34일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102060,김유서,첫 방문 후 미방문,2026-07-06,30일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102020,임서영,첫 방문 후 미방문,2026-07-07,29일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101850,최도정,첫 방문 후 미방문,2026-07-09,27일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102830,김수우,첫 방문 후 미방문,2026-07-09,27일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102180,장주빈,첫 방문 후 미방문,2026-07-10,26일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103030,정하서,단골/VIP,2026-07-13,23일,24일,1.0배,홀드아웃(대조군) — 발송 제외
C102980,신지진,단골/VIP,2026-07-14,22일,24일,0.9배,홀드아웃(대조군) — 발송 제외
C103010,홍채진,단골/VIP,2026-07-14,22일,24일,0.9배,홀드아웃(대조군) — 발송 제외
C103050,박유빈,단골/VIP,2026-07-14,22일,24일,0.9배,홀드아웃(대조군) — 발송 제외
C103090,이소진,단골/VIP,2026-07-16,20일,24일,0.8배,홀드아웃(대조군) — 발송 제외
C102910,서소수,단골/VIP,2026-07-18,18일,24일,0.8배,홀드아웃(대조군) — 발송 제외
C103000,서민준,단골/VIP,2026-07-19,17일,24일,0.7배,홀드아웃(대조군) — 발송 제외
C102950,권채수,단골/VIP,2026-07-20,16일,24일,0.7배,홀드아웃(대조군) — 발송 제외
C103020,임소서,단골/VIP,2026-07-21,15일,24일,0.6배,홀드아웃(대조군) — 발송 제외
C102990,안유영,단골/VIP,2026-07-23,13일,24일,0.5배,홀드아웃(대조군) — 발송 제외
C102900,최서진,단골/VIP,2026-07-24,12일,24일,0.5배,홀드아웃(대조군) — 발송 제외
C102920,장채연,단골/VIP,2026-07-25,11일,24일,0.5배,홀드아웃(대조군) — 발송 제외
C102930,조주연,단골/VIP,2026-07-26,10일,24일,0.4배,홀드아웃(대조군) — 발송 제외
C102960,이주아,단골/VIP,2026-07-26,10일,24일,0.4배,홀드아웃(대조군) — 발송 제외
C103040,황윤정,단골/VIP,2026-07-26,10일,24일,0.4배,홀드아웃(대조군) — 발송 제외
C103100,조서우,단골/VIP,2026-07-26,10일,24일,0.4배,홀드아웃(대조군) — 발송 제외
C103080,이소아,단골/VIP,2026-07-27,9일,24일,0.4배,홀드아웃(대조군) — 발송 제외
C102940,정서연,단골/VIP,2026-07-28,8일,24일,0.3배,홀드아웃(대조군) — 발송 제외
C103070,윤예호,단골/VIP,2026-07-28,8일,24일,0.3배,홀드아웃(대조군) — 발송 제외
C102970,신예아,단골/VIP,2026-07-30,6일,24일,0.2배,홀드아웃(대조군) — 발송 제외
C103060,장유진,단골/VIP,2026-07-30,6일,24일,0.2배,홀드아웃(대조군) — 발송 제외
C103110,송수연,단골/VIP,2026-07-30,6일,24일,0.2배,홀드아웃(대조군) — 발송 제외
C103120,전은우,단골/VIP,2026-07-30,6일,24일,0.2배,홀드아웃(대조군) — 발송 제외
C103130,조예영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103140,박현호,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103150,송주경,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103160,조도경,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103170,장서진,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103180,김유정,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103190,권현수,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103200,김현정,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103210,안소진,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103220,오서정,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103230,이현정,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103240,강은우,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103250,강현우,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103260,김지준,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103270,임민우,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103280,이소연,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103290,이수수,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103300,김현수,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103310,전하진,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103320,안서영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103330,이유진,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103340,황채우,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103350,홍유준,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103360,장예희,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103370,임서희,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103380,안소서,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103390,신하영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103400,조수영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103410,박하우,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103420,임민호,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103430,오현경,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103440,윤주수,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103450,조지아,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103460,조현수,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103470,황현우,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103480,이도영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103490,안소영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103500,오민준,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103510,권유아,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103520,강소호,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103530,홍윤연,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103540,전수준,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103550,한지진,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103560,임서빈,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103570,오수호,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103580,장유영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103590,신예우,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103600,한하서,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103610,안민준,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103620,송주호,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103630,강현영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103640,전채경,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103650,서현호,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103660,윤유정,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103670,송하진,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103680,임수우,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103690,강지빈,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103700,서민수,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103710,임채아,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103720,권민영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103730,임하연,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103740,안현영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103750,서주아,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103760,임유준,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103770,오예준,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103780,오윤준,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103790,윤소영,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103800,정소준,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C103810,윤예빈,미방문 리드,,,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C104000,최하연,장기 미방문,2025-06-12,419일,47일,8.9배,홀드아웃(대조군) — 발송 제외
C103880,송은정,장기 미방문,2025-06-24,407일,47일,8.7배,홀드아웃(대조군) — 발송 제외
C104020,조소호,장기 미방문,2025-07-07,394일,47일,8.4배,홀드아웃(대조군) — 발송 제외
C103900,황지준,장기 미방문,2025-07-09,392일,47일,8.3배,홀드아웃(대조군) — 발송 제외
C103940,조현경,장기 미방문,2025-07-23,378일,47일,8.0배,홀드아웃(대조군) — 발송 제외
C103980,신지영,장기 미방문,2025-07-24,377일,47일,8.0배,홀드아웃(대조군) — 발송 제외
C103830,박수경,장기 미방문,2025-07-25,376일,47일,8.0배,홀드아웃(대조군) — 발송 제외
C103850,안채희,장기 미방문,2025-08-09,361일,47일,7.7배,홀드아웃(대조군) — 발송 제외
C103870,전지수,장기 미방문,2025-08-17,353일,47일,7.5배,홀드아웃(대조군) — 발송 제외
C103860,권예수,장기 미방문,2025-08-23,347일,47일,7.4배,홀드아웃(대조군) — 발송 제외
C103990,조유우,장기 미방문,2025-09-21,318일,47일,6.8배,홀드아웃(대조군) — 발송 제외
C103910,조예진,장기 미방문,2025-11-12,266일,47일,5.7배,홀드아웃(대조군) — 발송 제외
C103970,이지경,장기 미방문,2025-12-03,245일,47일,5.2배,홀드아웃(대조군) — 발송 제외
C103820,오지서,장기 미방문,2025-12-04,244일,47일,5.2배,홀드아웃(대조군) — 발송 제외
C103890,한주정,장기 미방문,2025-12-04,244일,47일,5.2배,홀드아웃(대조군) — 발송 제외
C103930,홍현정,장기 미방문,2025-12-04,244일,47일,5.2배,홀드아웃(대조군) — 발송 제외
C103840,임민진,장기 미방문,2025-12-06,242일,47일,5.1배,홀드아웃(대조군) — 발송 제외
C104010,박하서,장기 미방문,2025-12-19,229일,47일,4.9배,홀드아웃(대조군) — 발송 제외
C103950,최채서,장기 미방문,2026-01-09,208일,47일,4.4배,홀드아웃(대조군) — 발송 제외
C103960,임윤빈,장기 미방문,2026-01-14,203일,47일,4.3배,홀드아웃(대조군) — 발송 제외
C103920,한소호,장기 미방문,2026-01-23,194일,47일,4.1배,홀드아웃(대조군) — 발송 제외
